
Tuesday 16th of May 2023 05:11:26 AM | product_id: 473 | zoho_item_id: 2174762000003652952 | request type: UPDATE | status: failed | You are not authorized to perform this operation
Tuesday 16th of May 2023 10:41:27 AM | product_id: 2165 | zoho_item_id: 2174762000003665930 | request type: UPDATE | status: failed | You are not authorized to perform this operation
Tuesday 16th of May 2023 05:12:15 AM | product_id: 473 | zoho_item_id: 2174762000003652952 | request type: UPDATE | status: failed | You are not authorized to perform this operation
Tuesday 16th of May 2023 10:42:16 AM | product_id: 2165 | zoho_item_id: 2174762000003665930 | request type: UPDATE | status: failed | You are not authorized to perform this operation
Tuesday 16th of May 2023 07:44:07 AM | product_id: 473 | zoho_item_id: 2174762000003652952 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 13:14:08 PM | product_id: 2165 | zoho_item_id: 2174762000003665930 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 09:29:10 AM | product_id: 473 | zoho_item_id: 2174762000003652952 | request type: UPDATE | status: failed | 
Tuesday 16th of May 2023 14:59:10 PM | product_id: 1837 | zoho_item_id: 2174762000003668012 | request type: UPDATE | status: failed | 
Tuesday 16th of May 2023 14:59:10 PM | product_id: 1841 | zoho_item_id: 2174762000003652941 | request type: UPDATE | status: failed | 
Tuesday 16th of May 2023 14:59:10 PM | product_id: 1854 | zoho_item_id: 2174762000003656734 | request type: UPDATE | status: failed | 
Tuesday 16th of May 2023 14:59:10 PM | product_id: 1878 | zoho_item_id:  | request type: INSERT | status: failed | 
Tuesday 16th of May 2023 14:59:10 PM | product_id: 2165 | zoho_item_id: 2174762000003665930 | request type: UPDATE | status: failed | 
Tuesday 16th of May 2023 14:59:10 PM | product_id: 2705 | zoho_item_id: 2174762000003668001 | request type: UPDATE | status: failed | 
Tuesday 16th of May 2023 14:59:10 PM | product_id: 2908 | zoho_item_id: 2174762000003656712 | request type: UPDATE | status: failed | 
Tuesday 16th of May 2023 14:59:10 PM | product_id: 7701 | zoho_item_id: 2174762000003662460 | request type: UPDATE | status: failed | 
Tuesday 16th of May 2023 14:59:10 PM | product_id: 7981 | zoho_item_id: 2174762000003656723 | request type: UPDATE | status: failed | 
Tuesday 16th of May 2023 10:20:57 AM | product_id: 473 | zoho_item_id: 2174762000003652952 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 15:50:58 PM | product_id: 1837 | zoho_item_id: 2174762000003668012 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 15:50:59 PM | product_id: 1841 | zoho_item_id: 2174762000003652941 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 15:51:00 PM | product_id: 1854 | zoho_item_id: 2174762000003656734 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 15:51:01 PM | product_id: 1878 | zoho_item_id: 2174762000003668023 | request type: INSERT | status: success | The item has been added.
Tuesday 16th of May 2023 15:51:01 PM | product_id: 2165 | zoho_item_id: 2174762000003665930 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 15:51:02 PM | product_id: 2705 | zoho_item_id: 2174762000003668001 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 15:51:03 PM | product_id: 2908 | zoho_item_id: 2174762000003656712 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 15:51:04 PM | product_id: 7701 | zoho_item_id: 2174762000003662460 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 15:51:05 PM | product_id: 7981 | zoho_item_id: 2174762000003656723 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 10:22:39 AM | product_id: 473 | zoho_item_id: 2174762000003652952 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 15:52:40 PM | product_id: 2165 | zoho_item_id: 2174762000003665930 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 10:48:13 AM | product_id: 473 | zoho_item_id: 2174762000003652952 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 11:25:10 AM | product_id: 473 | zoho_item_id: 2174762000003652952 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 11:27:23 AM | product_id: 473 | zoho_item_id: 2174762000003652952 | request type: UPDATE | status: success | Item details have been saved.
Tuesday 16th of May 2023 11:28:14 AM | product_id: 473 | zoho_item_id: 2174762000003652952 | request type: UPDATE | status: success | Item details have been saved.
